link,difficulty: ,tuning: ,key: ,capo: ,chord_list,full_text,contributors,popularity,file format: ,filesize: ,instuments: 
https://tabs.ultimate-guitar.com/tab/guns-n-roses/patience-chords-775751,intermediate,Eb Ab Db Gb Bb Eb,C,no capo,"['Dsus4', 'G', 'Em', 'A', 'C', 'Dsus2', 'D']","[Intro]
 
C G A D    C G A D
C G C Em   C G D D
 
 
[Verse 1]
 
C
  Shed a tear cause I'm missing you
G
  I'm still alright to smile
A                              D      Dsus2 D  Dsus4 D  Dsus2 D
  Girl I think about you every day now
C
  Was a time when I wasn't sure
       G
But you set my mind at ease
A                                  D       Dsus2 D  Dsus4 D  Dsus2 D
  There is no doubt, you're in my heart now
 
 
[Chorus]
 
C             G
  Said woman, take it slow
      C                Em
It'll work itself out fine
C              G              D     Dsus2 D  Dsus4  D  Dsus2  D
All we need is just a little patience
C             G
  Said sugar, make it slow and
      C              Em
It'll come together fine
C              G              D     Dsus2 D  Dsus4  D  Dsus2  D
All we need is just a little patience
D  Dsus2 D  Dsus4  D  Dsus2  D
            Patience (whispered)
D  Dsus2 D  Dsus4  D  Dsus2  D
      uuuuuuuuuuuuuuuuuuuuuuuuh
D  Dsus2 D  Dsus4  D  Dsus2  D
yeaaaaaaaaaaaaaaaaah
 
 
[Verse 2]
 
C
  I sit here on the stairs
         G
Cause I'd rather be alone
   A
If I can't have you right now
      D        Dsus2 D  Dsus4 D  Dsus2 D
I'll wait, dear
C
  Sometimes I get so tense
      G
But I can't speed up the time
    A
But you know love, there's one more thing
       D   Dsus2 D  Dsus4  D  Dsus2  D
To consider
 
[Chorus]
 
C             G
  Said woman, take it slow
    C                    Em
And things will be just fine
C                 G             D      Dsus2 D  Dsus4  D  Dsus2  D
You and I’ll just use a little patience
C             G
  Said sugar, take the time
          C                    Em
Cause the lights are shining bright
C                G                 D     Dsus2 D  Dsus4  D  Dsus2
You and I've got what it takes to make it
   D            Dsus2 D  Dsus4  D
We won't fake it
 Dsus2 D                  Dsus2 D  Dsus4  D
Ahh,   I'll never break it
Dsus2    D            Dsus2 D  Dsus4  D  Dsus2  D
 Cause I can't take it
 
 
[Solo]
 
C   G   C   Em   C   G   D  Dsus2 D  Dsus4  D  Dsus2  D
C   G   C   Em   C   G   D  Dsus2 D  Dsus4  D  Dsus2  D
D  Dsus2 D  Dsus4  D  Dsus2  D
D  Dsus2 D  Dsus4  D  Dsus2  D
D  Dsus2 D  Dsus4  D  Dsus2  D
 
 
[Bridge]
 
D  D/F#  G  D/F#  D            G
              A little patience
  D
Mmmmm yeah
       G
Mmmmm yeah
 
                D
Need a little patience
     G
Yeaaaaah
                D
Just a little patience
     G
yeaaaaah
 
 
[Verse 3]
 
D
  I've been walking the streets tonight
G
  Just trying to get it right
D
  It's hard to see with so many around
    G
You know I don’t like being stuck in the crowd
        D
And the streets don't change but maybe the names
G
  I ain't got time for the game
         D
Cause I need you
                  G
Yeah yeah, well I need you
         F
Ooooh, I need you
       G
Woh, I need you
            D     G    D
Ooooh, this time
X",7 contributors total,"3,653,979 views, added to favorites 110,453 times",,,
https://tabs.ultimate-guitar.com/tab/billie-eilish/happier-than-ever-chords-3592094,intermediate,E A D G B E,C,no capo,"['D/F#', 'G7', 'Am', 'G', 'E7', 'Am/G', 'Cadd9', 'C', 'Dm7', 'Dm7b5']","***Please Note: If you find Cadd9 difficult to play, feel free to use a regular C (X32010).***
 
[Intro - Rhythm Guitar]
     G                    G6       G7
e|-------3---3----3---3---0----|---1-------------|
B|-------0---0----0---0---0----|---0-------------|
G|-------0---0----0---0---0----|---0-------------|
D|-----------------------------|---0-------------|
A|-----------------------------|-----------------|
E|---3-------------------------|-----------------|
 
 
 
 
 
[Verse 1 - Full Picking Pattern (With Optional Slash Chords)]
 
     C         C/G             C          C/G
e|-------0--0-------0--0---|-------0--0--------0--0---|
B|-------1--1-------1--1---|-------1--1--------1--1---|
G|-------0--0-------0--0---|-------0--0--------0--0---|
D|-------2--2-------2--2---|-------2--2--------2--2---|
A|---3---------------------|---3----------------------|
E|---------------3---------|---------------3----------|
    E7
e|-------0--0-------0--0---|-------0--0--------0--0---|
B|-------0--0-------0--0---|-------0--0--------0--0---|
G|-------1--1-------1--1---|-------1--1--------1--1---|
D|-------0--0-------0--0---|-------0--0--------0--0---|
A|---2---------------------|---2----------------------|
E|---------------0---------|---------------0----------|
    Am         Am/E           Am         Am/E
e|-------0--0-------0--0---|-------0--0--------0--0---|
B|-------1--1-------1--1---|-------1--1--------1--1---|
G|-------2--2-------2--2---|-------2--2--------2--2---|
D|-------2--2-------2--2---|-------2--2--------2--2---|
A|---0---------------------|---0----------------------|
E|---------------0---------|---------------0----------|
    Dm7b5
e|-------1--1-------1--1---|-------1--1--------1--1---|
B|-------1--1-------1--1---|-------1--1--------1--1---|
G|-------1--1-------1--1---|-------1--1--------1--1---|
D|---0-----------0---------|---0-----------0----------|
A|-------------------------|--------------------------|
E|-------------------------|--------------------------|
 
 
 
 
[Chorus]
N.C.     Cadd9
When I'm away from you
                 E7
I'm happier than ever
                         Am
Wish I could explain it better
                 Dm7    G
I wish it wasn't true, mmm
 
         Cadd9
Give me a day or two
                       E7
To think of something clever
                 Am
To write myself a letter
                  Dm7  G
To tell me what to do,  mm-mm
 
 
[Verse 1]
C
  Do you read my interviews?
   E7
Or do you skip my avenue?
     Am
When you said you were passin' through
      Dm7b5
Was I even on your way?
   C
I knew when I asked you to (When I asked you to)
    E7
Be cool about what I was tellin' you
      Am
You'd do the opposite of what you said you'd do (What you said you'd do)
       Dm7b5
And I'd end up more afraid
               E7
Don't say it isn't fair
                                   Am      Am/G   D/F#
You clearly weren't aware that you made me miserable, ooh
           Dm7          G7
So if you really wanna know
 
 
[Chorus]
         Cadd9
When I'm away from you (When I'm away from you)
                  E7
I'm happier than ever (I'm happier than ever)
                         Am
Wish I could explain it better (Wish I could explain it better)
                 Dm7    G      C
I wish it wasn't true, mmm
 
 
[Instrumental Break]
 
C  E7  Am  F  Fm
 
[Verse 2]
C              E7                   Am
You called me again, drunk in your Benz
               F          Fm
Drivin' home under the influence
C                 E7                       Am
You scared me to death but I'm wastin' my breath
                  F             Fm
'Cause you only listen to your fuckin' friends
C                    E7
I don't relate to you
Am                     F
I don't relate to you, no
                  C               E7
'Cause I'd never treat me this shitty
            Am            F
You made me hate this city
 
 
[Bridge]
                  C                      E7
And I don't talk shit about you on the internet
            Am              F
Never told anyone anything bad
                     C                        E7
'Cause that shit's embarrassing, you were my everything
                 Am                       F
And all that you did was make me fuckin' sad
   C                             E7
So don't waste the time I don't have
    Am                         F
And don't try to make me feel bad
                    C                         E7
I could talk about every time that you showed up on time
                 Am                          F
But I'd have an empty line 'cause you never did
               C                     E7
Never paid any mind to my mother or friends, so I
              Am                          F
Shut them all out for you 'cause I was a kid
 
 
[Outro]
C                      E7
You ruined everything good
        Am                     F
Always said you were misunderstood
C                        E7
Made all my moments your own
Am                     F
Just fuckin' leave me alone
 
 
C  E7  Am  F  X3
 
C  E7  Am  F  Fm  C  X1
X",3 contributors total,"3,593,728 views, added to favorites 117,108 times",,,
https://tabs.ultimate-guitar.com/tab/third-eye-blind/jumper-tabs-136734,,,,no capo,[],,2 contributors total,"530,512 views, added to favorites 3,632 times",,,
https://tabs.ultimate-guitar.com/tab/the-white-stripes/dead-leaves-and-the-dirty-ground-tabs-37033,,,,no capo,[],,1 contributor total,"530,536 views, added to favorites 5,086 times",,,
https://tabs.ultimate-guitar.com/tab/the-killers/when-you-were-young-chords-499348,absolute beginner,E A D G B E,,4th fret,"['Am', 'G', 'Em', 'C', 'D']","The Killers
 
This is how to play the song in it's easiest form, for those of you who can't quite
barre chords, or just want a different more fluid way to play the song on an acoustic
What I have written is 100% correct, I think, but please don't hesitate to correct me - oli_jgb@hotmail.com
 
Standard Tuning CAPO ON 4TH!
 
 
[Verse]
 
    C                  D     Em
You sit there in your heart-ache
    G              C
Waiting on some beautiful boy to
 C                D       Em
To save you from your old ways
 G
You play forgiveness
C
Watch it now Here he comes
 
 
[Chorus]
 
    C                       D Em
He doesnt look a thing like Je-sus
            G
But he talks like a gentleman
 C
Like you imagined
              D Em
When you were young
 
 
[Instrumental]
 
G       C
 
 
[Verse]
 
 C
Can we climb this mountain
 D     Em
I dont know
 G                        C
Higher now than ever before
 C                           D       Em
I know we can make it if we take it slow
 G
Let's take it easy
  C
Easy now,  watch it go
 
 
[Chorus]
 
 C                             D     Em
We're burning down the highway sky- line
         G
On the back of a hurricane
 C
That started turning
               D  Em     G    C
When you were   young
               D  Em     G    C
When you were   young
 
       C           D          Em
And sometimes you close your eyes
              G                      C
And see the place where you used to live
               D   Em     G     C
When you were    young
 
 
[Bridge]
 
                Am
They say the devil's water It ain't so sweet
                             Em
You dont have to drink right now
                      G
But you can dip your feet
                        D
Every once in a little while
 
 
[Instrumental]
 
C  D  Em  G  C
C  D  Em  G  C
 
 
[Verse]
 
    C                  D     Em
You sit there in your heart-ache
    G                       C
Waiting on some beautiful boy to
 C                D       Em
To save you from your old ways
 G
You play forgiveness
C
Watch it now Here he comes
 
 
[Chorus]
 
    C                       D   Em
He doesnt look a thing like Je-sus
            G
But he talks like a gentleman
 C
Like you imagined
              D  Em
When you were young
 G
(talks like a gentleman)
 C
(like you imagined)
 C            D  Em
When you were young
   G   C
 
                                  D   Em    G   C
I said he doesnt look a thing like Jesus
                           D   Em           G   C
  (fill)
He doesnt look a thing like Jesus
     D
But more than you'll ever know
X",4 contributors total,"530,525 views, added to favorites 17,704 times",,,
https://tabs.ultimate-guitar.com/tab/dani-and-lizzy/dancing-in-the-sky-chords-1423105,absolute beginner,E A D G B E,,4th fret,[],"Dani and Lizzy - Dancing in the Sky
Capo on the fourth fret
 
[Verse 1]
 G                          D
What does it look like in heaven
         Em                           C
is it peaceful, is it free like they say
          G                   D
does the sun shine bright forever
            Em                      C
have your fears and your pain gone away
        Am                           Em                   D
cause here on earth it feels like everything.. good is missing, since you 
  Em       C                            G                      D
left and here on earth everything is different, there is an emptiness
 
[Chorus]
                       Em           C
oh I, I hope you're dancing in the sky
                 G                     D
I hope you're singing in the angels' choir
             Em                     C
I hope the angels, know what they have
                G                           D
I bet it's so nice up in heaven since you arrived
 
[Verse 2]
            G                      D
So tell me what, do you do up in heaven
           Em                        C
are your days filled with love and light
           G                        D
is there music? is there art and adventure?
                  Em                  C
tell me are you happy, are you more alive?
        Am                            Em                 D
cause here on earth it feels like everything.. good is missing, since you 
  Em      C                              G                     D
left and here on earth everything is different, there is an emptiness
 
[Chorus]
                       Em           C
Oh I, I hope you're dancing in the sky
                 G                     D
I hope you're singing in the angels' choir
             Em                     C
I hope the angels, know what they have
                G                           D
I bet it's so nice up in heaven since you arrived
             G
Since you arrived
X",5 contributors total,"530,934 views, added to favorites 18,672 times",,,
https://tabs.ultimate-guitar.com/tab/lessons-scales/major-and-minor-scales-bass-42016,,E A D G,,no capo,[],,3 contributors total,"530,302 views, added to favorites 14,153 times",,,
https://tabs.ultimate-guitar.com/tab/sade/smooth-operator-chords-58277,intermediate,,,no capo,"['Am7/C', 'Dm/Db', 'Gm7', 'Am7', 'Dm', 'Am7/B']","Sade - SMOOTH OPERATOR
""Diamond Life"" album
Words and Music: Sade Adu and St. John
 
 
[Verse]
Dm              Dm/Db
He's laughing with another girl
Am7/C           Am7/Cb
And playing with another heart.
Dm              Dm/Db
Placing high stakes, making hearts ache.
Am7/C           Am7/Cb
He's loved in seven languages.
Dm              Dm/Db
Diamond nights and ruby lights, high in the sky.
Am7/C           Am7/Cb
Heaven help him, when he falls.
 
Dm      Am7  Gm7 Am7 Dm    Am7  Gm7 Am7
Diamond life,           lover boy.
We move in space with minimum waste and maximum joy.
Dm      Am7  Gm7 Am7        Dm   Am7  Gm7 Am7
City lights             and business nights.
     Dm      Am7  Gm7 Am7            Dm   Am7  Gm7 Am7
When you require streetcar desire for higher heights.
 
Gm7             Am7                    Dm     Dm/Db  Am7/C   Am7/B
No place for    beginners or sensitive hearts
Gm7             Am7            Dm     Dm/Db  Am7/C   Am7/B
When sentiment is left to chance.
Gm7             Am7                    Dm
No place to be ending but somewhere to start.
Fill A
 
No need to ask.
 
 
[Chorus]
        Dm      Am7    Gm7    Am7
He's a smooth operator,
   Dm   Am7  Gm7 Am7
smooth operator,
  Dm    Am7  Gm7 Am7
smooth operator,
  Dm    Am7  Gm7 Am7
smooth operator.
Dm      Am7  Gm7 Am7             Dm   Am7  Gm7 Am7
Coast to coast, LA to Chicago, western male.
Dm      Am7            Gm7       Am7      Dm   Am7  Gm7 Am7
Across the north and south, to Key Largo, love for sale.
 
 
[Verse]
Face to face, each classic case.
 
We shadow box and double cross,
 
Yet need the chase.
""""Some where here is the guitar, sax solo"" ""Dorfun make it your own
solo""
 
Gm7                     Am7    Dm
A license to love, insurance to hold.
Gm7                             Am7       Dm
Melts all your memories and change into gold.
Gm7                     Am7              Dm
His eyes are like angels but his heart is cold.
Fill A
No need to ask.
 
 
[Chorus]
        Dm      Am7  Gm7 Am7
He's a smooth operator,
  Dm    Am7  Gm7 Am7
smooth operator,
  Dm    Am7  Gm7 Am7
smooth operator,
  Dm    Am7  Gm7 Am7
smooth operator.
Dm      Am7  Gm7 Am7             Dm   Am7  Gm7 Am7
Coast to coast, LA to Chicago, western male.
Dm      Am7  Gm7 Am7             Dm   Am7  Gm7 Am7
Across the north and south, to Key Largo, love for sale.
  Dm    Am7  Gm7 Am7             Dm   Am7  Gm7 Am7
Smooth operator,
  Dm    Am7  Gm7 Am7             Dm   Am7  Gm7 Am7
smooth operator,
  Dm    Am7  Gm7 Am7             Dm   Am7  Gm7 Am7
smooth operator,
  Dm    Am7  Gm7 Am7             Dm   Am7  Gm7 Am7
smooth operator,
  Dm    Am7  Gm7 Am7             Dm   Am7  Gm7 Am7
smooth operator...
 
 
Fill A
                  Dm
e--------------------5---------|
b--------------------6---------|
g--------------------7---------|
d--------------------7---------|
a-------------------5----------|
e------5-----8-----------------|
 
Chords
  Dm/Db   Am7/C    Am7/B    Gm7     Am7
e---5--  ---5---  ---5---  ------  -------
b---6--  ---5---  ---5---  ---3--  ---5---
g---7--  ---5---  ---5---  ---3--  ---5---
d---7--  ---5---  ---5---  ---3--  ---5---
a---4--  ---3---  ---2---  ------   ------
e------  -------  -------  ---3--  ----5--
X",2 contributors total,"531,526 views, added to favorites 11,788 times",,,
https://tabs.ultimate-guitar.com/tab/eminem/the-monster-chords-1428435,intermediate,,,4th fret,[],"Eminem - Monster feat. Rihanna
Marshall Mathers LP 2 - 2013
 
 
Capo 4
 
[Hook]
                      Am                  G  F
I'm friends with the monster that's under my bed
                      Am                  G  F
Get along with the voices inside of my head
                      Am                  G  F
You're trying to save me, stop holding your breath
                      Am                  G  F
And you think I'm crazy, yeah, you think I'm crazy
                      Am   G F
Well, that's not fair.
 
repeat during verses.
 
OR
 
 
No capo
 
[Hook]
                      C#m                B    A
I'm friends with the monster that's under my bed
                      C#m                 B    A
Get along with the voices inside of my head
                      C#m                 B    A
You're trying to save me, stop holding your breath
                      C#m                 B    A
And you think I'm crazy, yeah, you think I'm crazy
                     C#m   B A
Well, that's not fair.
 
 
repeat during verses.
 
 
 
Rate and correct if mistaken! Have fun :)
 
v2.0, edited 26.9.2016 linkme620
X",1 contributor total,"530,387 views, added to favorites 5,971 times",,,
https://tabs.ultimate-guitar.com/tab/parokya-ni-edgar/harana-chords-187879,beginner,,,no capo,"['C9', 'G', 'D']","HARANA
by: PAROKYA NI EDGAR
 
gela 2!..tgnan nyo nlng kung tma..sbi nla tama daw eh...>>patrick<<
>>moonstar_881921@yahoo.com<<
 
 
[Intro]
 
G-C9 (4X)
 
G     C9       Bm     E            Am       Bm      Am       D
Uso pa ba ang harana              marahil ikaw ay nag tataka
G        C9          Bm   E
sino ba tong mukang gago nag kandarapa
           Am       Bm               Am-D
sa pagkanta at nasisintunado sa kaba
G            C9        Bm     E           Am          Bm
meron pang dalang mga rosas                suot namay
Am                D
maong na kupas
G           C9        Bm       E                     Am
at nariyan pa ang barkada naka porma't naka barong
    Bm                        Am                D
sa awiting daig pa ang minus one at sing along
 
 
[Chorus]
 
         C9                             Bm
puno ang langit ng bitwin at kay lamig pa ng hangin
    Am             D              G
sa iyong tingin akoy nababaliw giliw
           C9                          Bm
at sa awitin kong ito sanay maibigan mo
Am                D                    E-Am
ibubuhos ko ang buong puso ko sa isang
                  D-D pause
munting harana para sa iyo
 
 
[Adlib]
 
G-C9 (4X)
 
G          C9            Bm   E      Am      Bm        Am         D
hindi bat parang isang sine             isang pelikulang romantiko
G               C9                        Bm
hindi bat ikaw ang bidang artista
E                            Am
at ako ang iyong leading man
             Bm                     Am          D
sa istoryang nagwawakas sa pag ibig na wagas
 
 
[Chorus]
 
         C9                             Bm
puno ang langit ng bitwin at kay lamig pa ng hangin
    Am             D              G
sa iyong tingin akoy nababaliw giliw
           C9                          Bm
at sa awitin kong ito sanay maibigan mo
Am                D                    E-Am
ibubuhos ko ang buong puso ko sa isang
                  D-D pause
munting harana para sa iyo\
 
 
end with G - C9(4X)
X",2 contributors total,"531,978 views, added to favorites 4,474 times",,,
